"name","V_1","V_2","V_3","V_4","V_5","V_6","V_7","slide_new_ind","new_ind","new_sub_indiv"
"ZF6010-Globigerina-pachyderma-square1_obj00001_plane000.jpg","ZF6010","Globigerina","pachyderma","square1","obj00001","plane000","jpg","ZF6010-square1","1","1"
"ZF6010-Globigerina-pachyderma-square1_obj00002_plane000.jpg","ZF6010","Globigerina","pachyderma","square1","obj00002","plane000","jpg","ZF6010-square1","1","2"
"ZF6010-Globigerina-pachyderma-square1_obj00003_plane000.jpg","ZF6010","Globigerina","pachyderma","square1","obj00003","plane000","jpg","ZF6010-square1","1","3"
"ZF6010-Globigerina-pachyderma-square1_obj00006_plane000.jpg","ZF6010","Globigerina","pachyderma","square1","obj00006","plane000","jpg","ZF6010-square1","1","4"
"ZF6010-Globigerina-pachyderma-square1_obj00007_plane000.jpg","ZF6010","Globigerina","pachyderma","square1","obj00007","plane000","jpg","ZF6010-square1","1","5"
"ZF6010-Globigerina-pachyderma-square1_obj00008_plane000.jpg","ZF6010","Globigerina","pachyderma","square1","obj00008","plane000","jpg","ZF6010-square1","1","6"
"ZF6010-Globigerina-pachyderma-square10_obj00001_plane000.jpg","ZF6010","Globigerina","pachyderma","square10","obj00001","plane000","jpg","ZF6010-square10","10","1"
"ZF6010-Globigerina-pachyderma-square10_obj00002_plane000.jpg","ZF6010","Globigerina","pachyderma","square10","obj00002","plane000","jpg","ZF6010-square10","10","2"
"ZF6010-Globigerina-pachyderma-square10_obj00003_plane000.jpg","ZF6010","Globigerina","pachyderma","square10","obj00003","plane000","jpg","ZF6010-square10","10","3"
"ZF6010-Globigerina-pachyderma-square10_obj00004_plane000.jpg","ZF6010","Globigerina","pachyderma","square10","obj00004","plane000","jpg","ZF6010-square10","10","4"
"ZF6010-Globigerina-pachyderma-square10_obj00005_plane000.jpg","ZF6010","Globigerina","pachyderma","square10","obj00005","plane000","jpg","ZF6010-square10","10","5"
"ZF6010-Globigerina-pachyderma-square11_obj00001_plane000.jpg","ZF6010","Globigerina","pachyderma","square11","obj00001","plane000","jpg","ZF6010-square11","11","1"
"ZF6010-Globigerina-pachyderma-square11_obj00002_plane000.jpg","ZF6010","Globigerina","pachyderma","square11","obj00002","plane000","jpg","ZF6010-square11","11","2"
"ZF6010-Globigerina-pachyderma-square11_obj00003_plane000.jpg","ZF6010","Globigerina","pachyderma","square11","obj00003","plane000","jpg","ZF6010-square11","11","3"
"ZF6010-Globigerina-pachyderma-square11_obj00004_plane000.jpg","ZF6010","Globigerina","pachyderma","square11","obj00004","plane000","jpg","ZF6010-square11","11","4"
"ZF6010-Globigerina-pachyderma-square12_obj00001_plane000.jpg","ZF6010","Globigerina","pachyderma","square12","obj00001","plane000","jpg","ZF6010-square12","12","1"
"ZF6010-Globigerina-pachyderma-square12_obj00002_plane000.jpg","ZF6010","Globigerina","pachyderma","square12","obj00002","plane000","jpg","ZF6010-square12","12","2"
"ZF6010-Globigerina-pachyderma-square12_obj00003_plane000.jpg","ZF6010","Globigerina","pachyderma","square12","obj00003","plane000","jpg","ZF6010-square12","12","3"
"ZF6010-Globigerina-pachyderma-square18_obj00001_plane000.jpg","ZF6010","Globigerina","pachyderma","square18","obj00001","plane000","jpg","ZF6010-square18","18","1"
"ZF6010-Globigerina-pachyderma-square18_obj00002_plane000.jpg","ZF6010","Globigerina","pachyderma","square18","obj00002","plane000","jpg","ZF6010-square18","18","2"
"ZF6010-Globigerina-pachyderma-square18_obj00003_plane000.jpg","ZF6010","Globigerina","pachyderma","square18","obj00003","plane000","jpg","ZF6010-square18","18","3"
"ZF6010-Globigerina-pachyderma-square18_obj00004_plane000.jpg","ZF6010","Globigerina","pachyderma","square18","obj00004","plane000","jpg","ZF6010-square18","18","4"
"ZF6010-Globigerina-pachyderma-square18_obj00005_plane000.jpg","ZF6010","Globigerina","pachyderma","square18","obj00005","plane000","jpg","ZF6010-square18","18","5"
