"name","V_1","V_2","V_3","V_4","V_5","V_6","V_7","V_8","slide_new_ind","new_ind","new_sub_indiv"
"ZF6019-Globigerina-pachyderma-square11-14_obj00001_plane000.jpg","ZF6019","Globigerina","pachyderma","square11","14","obj00001","plane000","jpg","ZF6019_square11_14","11_14","1"
"ZF6019-Globigerina-pachyderma-square11-14_obj00002_plane000.jpg","ZF6019","Globigerina","pachyderma","square11","14","obj00002","plane000","jpg","ZF6019_square11_14","11_14","2"
"ZF6019-Globigerina-pachyderma-square11-14_obj00003_plane000.jpg","ZF6019","Globigerina","pachyderma","square11","14","obj00003","plane000","jpg","ZF6019_square11_14","11_14","3"
"ZF6019-Globigerina-pachyderma-square11-14_obj00004_plane000.jpg","ZF6019","Globigerina","pachyderma","square11","14","obj00004","plane000","jpg","ZF6019_square11_14","11_14","4"
"ZF6019-Globigerina-pachyderma-square11-14_obj00005_plane000.jpg","ZF6019","Globigerina","pachyderma","square11","14","obj00005","plane000","jpg","ZF6019_square11_14","11_14","5"
"ZF6019-Globigerina-pachyderma-square11-14_obj00006_plane000.jpg","ZF6019","Globigerina","pachyderma","square11","14","obj00006","plane000","jpg","ZF6019_square11_14","11_14","6"
"ZF6019-Globigerina-pachyderma-square11-14_obj00007_plane000.jpg","ZF6019","Globigerina","pachyderma","square11","14","obj00007","plane000","jpg","ZF6019_square11_14","11_14","7"
"ZF6019-Globigerina-pachyderma-square11-14_obj00008_plane000.jpg","ZF6019","Globigerina","pachyderma","square11","14","obj00008","plane000","jpg","ZF6019_square11_14","11_14","8"
"ZF6019-Globigerina-pachyderma-square11-14_obj00009_plane000.jpg","ZF6019","Globigerina","pachyderma","square11","14","obj00009","plane000","jpg","ZF6019_square11_14","11_14","9"
"ZF6019-Globigerina-pachyderma-square11-14_obj00010_plane000.jpg","ZF6019","Globigerina","pachyderma","square11","14","obj00010","plane000","jpg","ZF6019_square11_14","11_14","10"
"ZF6019-Globigerina-pachyderma-square11-14_obj00011_plane000.jpg","ZF6019","Globigerina","pachyderma","square11","14","obj00011","plane000","jpg","ZF6019_square11_14","11_14","11"
"ZF6019-Globigerina-pachyderma-square11-14_obj00012_plane000.jpg","ZF6019","Globigerina","pachyderma","square11","14","obj00012","plane000","jpg","ZF6019_square11_14","11_14","12"
"ZF6019-Globigerina-pachyderma-square11-14_obj00013_plane000.jpg","ZF6019","Globigerina","pachyderma","square11","14","obj00013","plane000","jpg","ZF6019_square11_14","11_14","13"
"ZF6019-Globigerina-pachyderma-square11-14_obj00014_plane000.jpg","ZF6019","Globigerina","pachyderma","square11","14","obj00014","plane000","jpg","ZF6019_square11_14","11_14","14"
"ZF6019-Globigerina-pachyderma-square11-14_obj00015_plane000.jpg","ZF6019","Globigerina","pachyderma","square11","14","obj00015","plane000","jpg","ZF6019_square11_14","11_14","15"
"ZF6019-Globigerina-pachyderma-square11-14_obj00016_plane000.jpg","ZF6019","Globigerina","pachyderma","square11","14","obj00016","plane000","jpg","ZF6019_square11_14","11_14","16"
"ZF6019-Globigerina-pachyderma-square11-14_obj00017_plane000.jpg","ZF6019","Globigerina","pachyderma","square11","14","obj00017","plane000","jpg","ZF6019_square11_14","11_14","17"
"ZF6019-Globigerina-pachyderma-square11-14_obj00018_plane000.jpg","ZF6019","Globigerina","pachyderma","square11","14","obj00018","plane000","jpg","ZF6019_square11_14","11_14","18"
"ZF6019-Globigerina-pachyderma-square11-14_obj00019_plane000.jpg","ZF6019","Globigerina","pachyderma","square11","14","obj00019","plane000","jpg","ZF6019_square11_14","11_14","19"
"ZF6019-Globigerina-pachyderma-square11-14_obj00020_plane000.jpg","ZF6019","Globigerina","pachyderma","square11","14","obj00020","plane000","jpg","ZF6019_square11_14","11_14","20"
"ZF6019-Globigerina-pachyderma-square11-14_obj00021_plane000.jpg","ZF6019","Globigerina","pachyderma","square11","14","obj00021","plane000","jpg","ZF6019_square11_14","11_14","21"
"ZF6019-Globigerina-pachyderma-square11-14_obj00022_plane000.jpg","ZF6019","Globigerina","pachyderma","square11","14","obj00022","plane000","jpg","ZF6019_square11_14","11_14","22"
"ZF6019-Globigerina-pachyderma-square11-14_obj00023_plane000.jpg","ZF6019","Globigerina","pachyderma","square11","14","obj00023","plane000","jpg","ZF6019_square11_14","11_14","23"
"ZF6019-Globigerina-pachyderma-square11-14_obj00024_plane000.jpg","ZF6019","Globigerina","pachyderma","square11","14","obj00024","plane000","jpg","ZF6019_square11_14","11_14","24"
"ZF6019-Globigerina-pachyderma-square11-14_obj00025_plane000.jpg","ZF6019","Globigerina","pachyderma","square11","14","obj00025","plane000","jpg","ZF6019_square11_14","11_14","25"
"ZF6019-Globigerina-pachyderma-square11-14_obj00026_plane000.jpg","ZF6019","Globigerina","pachyderma","square11","14","obj00026","plane000","jpg","ZF6019_square11_14","11_14","26"
"ZF6019-Globigerina-pachyderma-square11-14_obj00027_plane000.jpg","ZF6019","Globigerina","pachyderma","square11","14","obj00027","plane000","jpg","ZF6019_square11_14","11_14","27"
"ZF6019-Globigerina-pachyderma-square11-14_obj00028_plane000.jpg","ZF6019","Globigerina","pachyderma","square11","14","obj00028","plane000","jpg","ZF6019_square11_14","11_14","28"
"ZF6019-Globigerina-pachyderma-square11-14_obj00029_plane000.jpg","ZF6019","Globigerina","pachyderma","square11","14","obj00029","plane000","jpg","ZF6019_square11_14","11_14","29"
"ZF6019-Globigerina-pachyderma-square11-14_obj00030_plane000.jpg","ZF6019","Globigerina","pachyderma","square11","14","obj00030","plane000","jpg","ZF6019_square11_14","11_14","30"
