,obj,marina,anieke
213,PF71296-Globorotalia-menardii_obj00046_plane000.jpg,remove,correct
215,PF71296-Globorotalia-menardii_obj00048_plane000.jpg,correct,remove
216,PF71296-Globorotalia-menardii_obj00049_plane000.jpg,remove,change
218,PF71296-Globorotalia-menardii_obj00051_plane000.jpg,remove,correct
219,PF71296-Globorotalia-menardii_obj00052_plane000.jpg,remove,change
220,PF71296-Globorotalia-menardii_obj00053_plane000.jpg,correct,remove
226,PF71296-Globorotalia-menardii_obj00059_plane000.jpg,remove,change
229,PF71298-Globorotalia-menardii_obj00002_plane000.jpg,correct,remove
233,PF71298-Globorotalia-menardii_obj00006_plane000.jpg,remove,correct
234,PF71298-Globorotalia-menardii_obj00007_plane000.jpg,correct,remove
235,PF71298-Globorotalia-menardii_obj00008_plane000.jpg,correct,remove
237,PF71298-Globorotalia-menardii_obj00010_plane000.jpg,correct,remove
242,PF71298-Globorotalia-menardii_obj00015_plane000.jpg,change,correct
245,PF71298-Globorotalia-menardii_obj00018_plane000.jpg,correct,remove
246,PF71298-Globorotalia-menardii_obj00019_plane000.jpg,correct,remove
247,PF71298-Globorotalia-menardii_obj00020_plane000.jpg,correct,remove
248,PF71298-Globorotalia-menardii_obj00021_plane000.jpg,correct,remove
249,PF71298-Globorotalia-menardii_obj00022_plane000.jpg,remove,correct
251,PF71298-Globorotalia-menardii_obj00024_plane000.jpg,correct,remove
257,PF71305-Globorotalia-menardii_obj00006_plane000.jpg,correct,remove
258,PF71305-Globorotalia-menardii_obj00007_plane000.jpg,correct,remove
259,PF71305-Globorotalia-menardii_obj00008_plane000.jpg,correct,remove
262,PF71305-Globorotalia-menardii_obj00011_plane000.jpg,correct,remove
263,PF71305-Globorotalia-menardii_obj00012_plane000.jpg,correct,remove
264,PF71305-Globorotalia-menardii_obj00013_plane000.jpg,correct,remove
265,PF71305-Globorotalia-menardii_obj00014_plane000.jpg,correct,remove
266,PF71305-Globorotalia-menardii_obj00015_plane000.jpg,correct,remove
268,PF71305-Globorotalia-menardii_obj00017_plane000.jpg,correct,remove
269,PF71305-Globorotalia-menardii_obj00018_plane000.jpg,correct,remove
271,PF71305-Globorotalia-menardii_obj00020_plane000.jpg,correct,remove
273,PF71305-Globorotalia-menardii_obj00022_plane000.jpg,correct,remove
274,PF71305-Globorotalia-menardii_obj00023_plane000.jpg,correct,remove
282,PF71307-Globorotalia-menardii_obj00008_plane000.jpg,correct,remove
310,PF71307-Globorotalia-menardii_obj00036_plane000.jpg,remove,correct
364,PF71330-Globoquadrina-dehiscens_obj00001_plane000.jpg,remove,change
376,PF71479-Globoquadrina-hexagona_obj00001_plane000.jpg,remove,correct
379,PF71479-Globoquadrina-hexagona_obj00004_plane000.jpg,remove,correct
380,PF71481-Globorotalia-scitula_obj00001_plane000.jpg,change,correct
383,PF71481-Globorotalia-scitula_obj00004_plane000.jpg,remove,correct
384,PF71481-Globorotalia-scitula_obj00005_plane000.jpg,remove,correct
385,PF71481-Globorotalia-scitula_obj00006_plane000.jpg,remove,correct
387,PF71481-Globorotalia-scitula_obj00008_plane000.jpg,remove,correct
390,PF71484-Globigerina-falconensis_obj00003_plane000.jpg,remove,correct
391,PF71484-Globigerina-falconensis_obj00004_plane000.jpg,change,correct
410,ZF5751-Globorotalia-menardii_obj00004_plane000.jpg,correct,change
427,ZF5752-Globorotalia-menardii_obj00017_plane000.jpg,remove,correct
429,ZF5752-Globorotalia-menardii_obj00019_plane000.jpg,correct,change
441,ZF5753-Globorotalia-menardii_obj00002_plane000.jpg,correct,remove
442,ZF5753-Globorotalia-menardii_obj00003_plane000.jpg,correct,change
446,ZF5753-Globorotalia-menardii_obj00007_plane000.jpg,remove,correct
448,ZF5755-Globorotalia-menardii_obj00002_plane000.jpg,remove,correct
468,ZF5758-Globorotalia-menardii_obj00001_plane000.jpg,remove,change
469,ZF5758-Globorotalia-menardii_obj00002_plane000.jpg,remove,change
472,ZF5758-Globorotalia-menardii_obj00005_plane000.jpg,remove,change
473,ZF5758-Globorotalia-menardii_obj00006_plane000.jpg,correct,change
476,ZF5758-Globorotalia-menardii_obj00009_plane000.jpg,remove,correct
478,ZF5759-Globorotalia-menardii_obj00001_plane000.jpg,correct,change
485,ZF5759-Globorotalia-menardii_obj00008_plane000.jpg,correct,change
487,ZF5759-Globorotalia-menardii_obj00010_plane000.jpg,remove,correct
516,ZF5763-Globorotalia-menardii_obj00004_plane000.jpg,remove,correct
519,ZF5763-Globorotalia-menardii_obj00007_plane000.jpg,remove,correct
520,ZF5763-Globorotalia-menardii_obj00008_plane000.jpg,remove,correct
541,ZF5764-Globorotalia-menardii_obj00014_plane000.jpg,remove,correct
544,ZF5764-Globorotalia-menardii_obj00017_plane000.jpg,remove,correct
570,ZF5766-Globorotalia-menardii_obj00004_plane000.jpg,remove,correct
601,ZF5767-Globorotalia-menardii_obj00014_plane000.jpg,correct,remove
606,ZF5767-Globorotalia-menardii_obj00019_plane000.jpg,remove,correct
610,ZF5768-Globorotalia-menardii_obj00003_plane000.jpg,remove,correct
616,ZF5768-Globorotalia-menardii_obj00009_plane000.jpg,remove,correct
625,ZF5769-Globorotalia-menardii_obj00001_plane000.jpg,remove,correct
645,ZF5770-Globorotalia-menardii_obj00016_plane000.jpg,remove,correct
683,ZF5770-Globorotalia-menardii_obj00054_plane000.jpg,remove,correct
687,ZF5770-Globorotalia-menardii_obj00058_plane000.jpg,change,correct
688,ZF5770-Globorotalia-menardii_obj00059_plane000.jpg,remove,correct
705,ZF5770-Globorotalia-menardii_obj00076_plane000.jpg,change,correct
722,ZF5771-Globorotalia-menardii_obj00017_plane000.jpg,remove,correct
731,ZF5771-Globorotalia-menardii_obj00026_plane000.jpg,correct,change
733,ZF5771-Globorotalia-menardii_obj00028_plane000.jpg,correct,change
741,ZF5771-Globorotalia-menardii_obj00036_plane000.jpg,remove,correct
742,ZF5771-Globorotalia-menardii_obj00037_plane000.jpg,correct,change
748,ZF5771-Globorotalia-menardii_obj00043_plane000.jpg,remove,correct
